iter	RMSE
0	43.43374045
1	42.76696671
2	42.07863228
3	41.41600725
4	40.87411868
5	40.3762567
6	39.86723029
7	39.30726135
8	38.77908274
9	38.31332389
10	37.82135938
11	37.4962046
12	37.11599432
13	36.6418878
14	36.3460688
15	36.03465404
16	35.81839326
17	35.4826236
18	35.18028384
19	34.86369357
20	34.57143612
21	34.38492352
22	34.18392894
23	34.02377503
24	33.80728175
25	33.56809058
26	33.39721333
27	33.18810607
28	32.98458835
29	32.8085491
30	32.6286832
31	32.41729835
32	32.21496376
33	32.06854262
34	31.94716566
35	31.82208567
36	31.61767552
37	31.46672343
38	31.31235288
39	31.15360416
40	31.05109797
41	30.88043953
42	30.75636746
43	30.64092197
44	30.52601149
45	30.38751035
46	30.29665329
47	30.18901875
48	30.04411605
49	29.98705617
50	29.87043528
51	29.78321984
52	29.64286823
53	29.54740308
54	29.408843
55	29.2782241
56	29.12821563
57	28.99383815
58	28.88606171
59	28.7699304
60	28.57517648
61	28.46610495
62	28.36282531
63	28.28560752
64	28.21853338
65	28.08375708
66	27.99631843
67	27.92855744
68	27.88078548
69	27.80698942
70	27.74006576
71	27.66062033
72	27.55664256
73	27.48734561
74	27.42470578
75	27.33408995
76	27.24306318
77	27.15450451
78	27.12949277
79	26.978663
80	26.88482247
81	26.83065307
82	26.75073479
83	26.67350826
84	26.57261082
85	26.50973741
86	26.42374668
87	26.365186
88	26.25136701
89	26.1913224
90	26.03652086
91	25.98720082
92	25.90074405
93	25.7771914
94	25.72904317
95	25.62812136
96	25.59321434
97	25.5326946
98	25.49086554
99	25.35923978
100	25.31361619
101	25.22566764
102	25.14155633
103	25.03587014
104	24.98418047
105	24.87882686
106	24.77213495
107	24.71570969
108	24.60928385
109	24.56364014
110	24.54371107
111	24.42691864
112	24.35978405
113	24.28942577
114	24.24145342
115	24.16992371
116	24.13215214
117	24.07227818
118	24.02090774
119	23.88482237
120	23.79031081
121	23.74559261
122	23.68319049
123	23.65287649
124	23.58382477
125	23.46193653
126	23.38156484
127	23.27452881
128	23.22228197
129	23.17103472
130	23.14278041
131	23.00656277
132	22.91496031
133	22.83395576
134	22.71918651
135	22.70534878
136	22.64889583
137	22.60771237
138	22.55346585
139	22.46437909
140	22.42441498
141	22.34015836
142	22.25809215
143	22.19921946
144	22.12402276
145	22.06323622
146	22.02098511
147	21.9267907
148	21.86268799
149	21.76698875
150	21.71219119
151	21.64193562
152	21.56937646
153	21.51202319
154	21.37393575
155	21.32232225
156	21.25705761
157	21.20375669
158	21.131643
159	21.07322379
160	21.02077969
161	20.96409118
162	20.89172252
163	20.81531476
164	20.76858598
165	20.70152436
166	20.65325674
167	20.5768166
168	20.50919429
169	20.43525815
170	20.34631126
171	20.28275512
172	20.20540921
173	20.15725858
174	20.13199401
175	20.0546579
176	19.94458051
177	19.88402679
178	19.80345089
179	19.74877466
180	19.69687115
181	19.6459752
182	19.62499435
183	19.57527079
184	19.53119876
185	19.45081062
186	19.40238935
187	19.34993245
188	19.30714132
189	19.23886614
190	19.17362112
191	19.08211427
192	19.03721674
193	18.99899662
194	18.91758228
195	18.87529638
196	18.80548954
197	18.75184617
198	18.70016138
199	18.66562997
200	18.61895054
201	18.5919616
202	18.53439297
203	18.4869464
204	18.45753765
205	18.37457302
206	18.28569334
207	18.23169875
208	18.18574287
209	18.12480488
210	18.03054815
211	17.99074322
212	17.95113099
213	17.9071373
214	17.86685171
215	17.83701031
216	17.80618475
217	17.75881882
218	17.7009034
